workload,concurrency,component,statistic,unit,local,federated,difference,observations_local,observations_federated
latency,1,request_path_t0_t1,p50,ms,52.8403,92.9548,40.1145,10000,10000
latency,1,executor_t1_t2,p50,ms,0.0589,0.0547,-0.0042,10000,10000
latency,1,response_path_t2_t3,p50,ms,50.9786,91.882,40.9034,10000,10000
latency,1,end_to_end_t0_t3,p50,ms,104.0277,185.1116,81.0839,10000,10000
latency,1,request_path_t0_t1,p95,ms,58.6104,102.0874,43.477,10000,10000
latency,1,executor_t1_t2,p95,ms,0.0787,0.074,-0.0047,10000,10000
latency,1,response_path_t2_t3,p95,ms,56.3468,100.7534,44.4066,10000,10000
latency,1,end_to_end_t0_t3,p95,ms,114.4918,200.807,86.3152,10000,10000
throughput,32,agent_service_interval,median,ms,81.7232,106.9988,25.2756,14399,11176
throughput,32,implied_service_rate,reciprocal_of_interval,interactions/second,12.2364,9.3459,-2.8905,14399,11176
throughput,32,executor_t1_t2,p50,ms,0.0732,0.07,-0.0032,14399,11176
throughput,8,agent_service_interval,median,ms,81.5639,106.6113,25.0474,14185,11122
throughput,8,implied_service_rate,reciprocal_of_interval,interactions/second,12.2603,9.3799,-2.8804,14185,11122
throughput,8,executor_t1_t2,p50,ms,0.0722,0.0702,-0.002,14185,11122
throughput,all,agent_service_interval,median,ms,81.6582,106.8028,25.1446,28584,22298
throughput,all,implied_service_rate,reciprocal_of_interval,interactions/second,12.2462,9.363,-2.8832,28584,22298
throughput,all,executor_t1_t2,p50,ms,0.0728,0.0701,-0.0027,28584,22298
