concurrency,topology,run_index,first_half_rate_per_second,second_half_rate_per_second,second_over_first
8,local,0,11.8333,11.9333,1.0085
8,local,1,11.9333,12.0333,1.0084
8,local,2,12.0333,11.9333,0.9917
8,local,3,11.9333,11.8333,0.9916
8,local,4,11.9,11.7333,0.986
8,local,5,11.7,11.8,1.0085
8,local,6,11.9,11.8667,0.9972
8,local,7,11.8333,11.7,0.9887
8,local,8,11.9,11.8,0.9916
8,local,9,11.8333,11.6667,0.9859
8,local,10,11.9333,11.7333,0.9832
8,local,11,11.6667,11.7,1.0029
8,local,12,11.8667,11.8333,0.9972
8,local,13,11.9,11.8,0.9916
8,local,14,11.8,11.6667,0.9887
8,local,15,11.7,11.8667,1.0142
8,local,16,11.8667,11.8333,0.9972
8,local,17,11.8,11.8,1.0
8,local,18,11.8,11.6,0.9831
8,local,19,11.8,11.7333,0.9944
8,federated,0,9.4,9.3,0.9894
8,federated,1,9.3333,9.3667,1.0036
8,federated,2,9.3667,9.3,0.9929
8,federated,3,9.4,9.3333,0.9929
8,federated,4,9.3,9.2667,0.9964
8,federated,5,9.2667,9.3,1.0036
8,federated,6,9.2,9.2667,1.0072
8,federated,7,9.3333,9.2667,0.9929
8,federated,8,9.3,9.0667,0.9749
8,federated,9,9.3,9.2667,0.9964
8,federated,10,9.1667,9.2667,1.0109
8,federated,11,9.3333,9.2667,0.9929
8,federated,12,9.3,9.2667,0.9964
8,federated,13,9.3,9.1333,0.9821
8,federated,14,9.3,9.2,0.9892
8,federated,15,9.2667,9.2333,0.9964
8,federated,16,9.2,9.2333,1.0036
8,federated,17,9.1667,9.2333,1.0073
8,federated,18,9.2667,9.2667,1.0
8,federated,19,9.2667,9.0667,0.9784
32,local,0,12.0333,12.0667,1.0028
32,local,1,12.0,12.1,1.0083
32,local,2,12.1,12.1333,1.0028
32,local,3,12.1667,11.8333,0.9726
32,local,4,12.1,12.0333,0.9945
32,local,5,11.9333,12.1333,1.0168
32,local,6,12.1,11.9,0.9835
32,local,7,12.0333,11.8667,0.9861
32,local,8,12.1,12.0333,0.9945
32,local,9,11.8667,11.9667,1.0084
32,local,10,12.0667,12.0333,0.9972
32,local,11,12.0,12.0667,1.0056
32,local,12,12.0333,11.8,0.9806
32,local,13,11.8333,12.0,1.0141
32,local,14,11.9333,12.1,1.014
32,local,15,12.0,11.9333,0.9944
32,local,16,11.8333,11.9667,1.0113
32,local,17,11.9667,12.0,1.0028
32,local,18,12.0,12.0333,1.0028
32,local,19,12.0,11.7667,0.9806
32,federated,0,9.1,9.1667,1.0073
32,federated,1,9.2,9.2,1.0
32,federated,2,9.2,9.2333,1.0036
32,federated,3,9.2,9.2333,1.0036
32,federated,4,9.2333,9.2333,1.0
32,federated,5,9.2333,9.2667,1.0036
32,federated,6,9.2667,9.2333,0.9964
32,federated,7,9.2667,9.2333,0.9964
32,federated,8,9.1,9.2,1.011
32,federated,9,9.2333,9.2,0.9964
32,federated,10,9.2,9.1667,0.9964
32,federated,11,9.2,9.0667,0.9855
32,federated,12,9.1333,9.1667,1.0036
32,federated,13,9.1333,9.2,1.0073
32,federated,14,9.0667,9.1333,1.0074
32,federated,15,9.2,9.1,0.9891
32,federated,16,9.2,9.2333,1.0036
32,federated,17,9.0667,9.2,1.0147
32,federated,18,9.2,9.2,1.0
32,federated,19,9.1667,9.2,1.0036
