workload,concurrency,topology,run_index,observed_throughput_per_second
throughput,8,local,0,11.6833
throughput,8,local,1,11.7
throughput,8,local,2,11.7333
throughput,8,local,3,11.75
throughput,8,local,4,11.75
throughput,8,local,5,11.7667
throughput,8,local,6,11.7667
throughput,8,local,7,11.7833
throughput,8,local,8,11.8
throughput,8,local,9,11.8167
throughput,8,local,10,11.8333
throughput,8,local,11,11.85
throughput,8,local,12,11.85
throughput,8,local,13,11.85
throughput,8,local,14,11.85
throughput,8,local,15,11.8833
throughput,8,local,16,11.8833
throughput,8,local,17,11.8833
throughput,8,local,18,11.9833
throughput,8,local,19,11.9833
throughput,8,federated,0,9.1667
throughput,8,federated,1,9.1833
throughput,8,federated,2,9.2
throughput,8,federated,3,9.2167
throughput,8,federated,4,9.2167
throughput,8,federated,5,9.2167
throughput,8,federated,6,9.2333
throughput,8,federated,7,9.25
throughput,8,federated,8,9.25
throughput,8,federated,9,9.2667
throughput,8,federated,10,9.2833
throughput,8,federated,11,9.2833
throughput,8,federated,12,9.2833
throughput,8,federated,13,9.2833
throughput,8,federated,14,9.3
throughput,8,federated,15,9.3
throughput,8,federated,16,9.3333
throughput,8,federated,17,9.35
throughput,8,federated,18,9.35
throughput,8,federated,19,9.3667
throughput,32,local,0,11.8833
throughput,32,local,1,11.9
throughput,32,local,2,11.9167
throughput,32,local,3,11.9167
throughput,32,local,4,11.9167
throughput,32,local,5,11.95
throughput,32,local,6,11.9667
throughput,32,local,7,11.9833
throughput,32,local,8,12.0
throughput,32,local,9,12.0
throughput,32,local,10,12.0167
throughput,32,local,11,12.0167
throughput,32,local,12,12.0333
throughput,32,local,13,12.0333
throughput,32,local,14,12.05
throughput,32,local,15,12.05
throughput,32,local,16,12.05
throughput,32,local,17,12.0667
throughput,32,local,18,12.0667
throughput,32,local,19,12.1167
throughput,32,federated,0,9.1
throughput,32,federated,1,9.1333
throughput,32,federated,2,9.1333
throughput,32,federated,3,9.1333
throughput,32,federated,4,9.15
throughput,32,federated,5,9.15
throughput,32,federated,6,9.15
throughput,32,federated,7,9.1667
throughput,32,federated,8,9.1833
throughput,32,federated,9,9.1833
throughput,32,federated,10,9.2
throughput,32,federated,11,9.2
throughput,32,federated,12,9.2167
throughput,32,federated,13,9.2167
throughput,32,federated,14,9.2167
throughput,32,federated,15,9.2167
throughput,32,federated,16,9.2333
throughput,32,federated,17,9.25
throughput,32,federated,18,9.25
throughput,32,federated,19,9.25
